asin,product_title,category,sub_category,date,units_sold,selling_price,unit_cost,fba_fees,revenue,profit_margin_pct,bsr_rank,stock_level,profit_per_unit,calc_revenue
B0G94NLS8S,"NaturaCare Naturals Biotin Hair Gummies | Supports Hair Growth & Hair Fall Control | With Zinc, Vitamins & Prebiotics | No Added Sugar | 30 Gummies",Hair Care,Biotin Hair Gummies,2026-02-23,2,609.65,0.0,21.92,1219.3,96.40449438202248,0,0,587.73,1219.3
B0G48HK3WQ,"NaturaCare Naturals Banana Organic Shampoo Powder | Herbal, Chemical-Free| Gentle Cleanser for Healthy, Strong Hair 200gm",Body care,Banana Organic Shampoo Powder,2026-02-23,1,609.65,0.0,17.78,609.65,97.08357254162225,0,0,591.87,609.65
B0G4368ZFX,"NaturaCare Naturals 500gm Natural Mass Powder for Weight Gain – 1,200+ Calories, Fast Muscle Growth Supplement, High-Calorie Formula for Men & Women",Weight Management,Weight Gain,2026-02-23,9,616.5,0.0,27.11,4315.5,95.60259529602595,0,0,589.39,5548.5
B0F6N5XPBS,"NaturaCare Naturals Premium Herbal Shampoo | Volumizing, Nourishing & Anti Hair Fall | Paraben & Sulphate Free for All Hair Types | Natural Growth & Scalp Strength | 200 ml",Hair Shampoos,Herbal Shampoo,2026-02-23,1,404.15,0.0,10.28,404.15,97.45638995422492,0,0,393.87,404.15
B0DZTKSRX7,"NaturaCare ABC Malt Health Drink Powder – Apple, Beetroot & Carrot Blend | Immunity Booster & Natural Energy | Antioxidant-Rich Daily Nutrition | 200 g",Milk Mixtures,Abc Malt,2026-02-23,7,615.13,0.0,22.54,3690.78,96.33573390990523,0,0,592.59,4305.91
B0DHH75TQ4,"NaturaCare Naturals Natural Henna Hair Dye, No Ammonia, For All Hair Types | Hair Color | Rich, Long-Lasting Color & Shine | Safe for All Hair Types | Vegan & Cruelty-Free""",Hair Care,Henna Hair Dye,2026-02-23,16,475.81,0.0,14.1,6185.55,97.03663226918307,0,0,461.71,7612.96
B0CTDZ8GQH,"NaturaCare Naturals Hibiscus Shampoo - 200 ml with Hibiscus, Lavender buds, Neem leaves || Shampoo - Nourish and Strengthen Hair ||",Hair Shampoos,Hisbiscus Shampoos,2026-02-23,6,375.93,0.0,8.11,1879.64,97.84268347830712,0,0,367.82,2255.58
B0CJMF3TPN,NaturaCare Naturals Slim & Strength Weight Loss Powder 500g | Natural Weight Management & Energy Boost Formula | Supports Metabolism & Enhances Muscle Tone | Sugar-Free & Plant-Based,Weight Management,Weight Loss,2026-02-23,55,711.64,0.0,45.76,32023.75,93.56978247428475,0,0,665.88,39140.2
B0BM4FC2DV,"NaturaCare Strawberry lip balm- 6g, Strawberry Lip Balm - Hydrates & Repairs Dry Lips with Key Ingredients",Lip Care,Strawberry Lip Balm,2026-02-23,2,253.45,0.0,7.27,506.9,97.13158413888341,0,0,246.17999999999998,506.9
B0BM48KNBN,"NaturaCare Natural Beetroot lip balm-6g ||Organic- Natural, Safe & Hydrating for All Skin Types, Perfect for Dry, Chapped Lips",Lip Care,Beetroot Lip Balm,2026-02-23,7,267.15,0.0,8.29,1602.9,96.89687441512258,0,0,258.85999999999996,1870.0499999999997
B0BK52C49W,"NaturaCare Red Sandal Exfoliate Scrubbing Face Wash-100ml with Micronized Nano-Particles,Red sandal extract,Hydroxyethyl Cellulose,Rose oil,Grape fruit oil,Lavender oil,Coco glucoside ||Natural Scrub for All Skin Types||",Face Wash,Red Sandal Exfoliate Face Wash,2026-02-23,1,472.65,0.0,13.34,472.65,97.17761557177617,0,0,459.31,472.65
